family,method,rna_types
RF00001,rna-type,rRNA
RF00002,rna-type,rRNA
RF00003,so-search,snRNA
RF00004,so-search,snRNA
RF00005,so-term,tRNA
RF00006,name,vault_RNA
RF00007,so-search,snRNA
RF00008,name,hammerhead_ribozyme
RF00009,so-term,RNase_P_RNA
RF00010,so-term,RNase_P_RNA
RF00011,so-term,RNase_P_RNA
RF00012,rna-type,snoRNA
RF00013,fallbacks,
RF00014,rna-type,other
RF00015,so-search,snRNA
RF00016,rna-type,snoRNA
RF00017,name,SRP_RNA
RF00018,rna-type,other
RF00019,name,Y_RNA
RF00020,so-search,snRNA
RF00021,rna-type,other
RF00022,fallbacks,
RF00023,name,tmRNA
RF00024,name,telomerase_RNA
RF00025,name,telomerase_RNA
RF00026,so-search,snRNA
RF00027,so-term,precursor_RNA
RF00028,so-search,autocatalytically_spliced_intron
RF00029,so-search,autocatalytically_spliced_intron
RF00030,name,RNase_MRP_RNA
RF00031,fallbacks,
RF00032,fallbacks,
RF00033,so-search,antisense_RNA
RF00034,rna-type,other
RF00035,rna-type,other
RF00036,fallbacks,
RF00037,fallbacks,
RF00038,fallbacks,
RF00039,so-term,antisense_RNA
RF00040,fallbacks,
RF00041,fallbacks,
RF00042,so-term,antisense_RNA
RF00043,fallbacks,
RF00044,so-term,other
RF00045,rna-type,snoRNA
RF00046,rna-type,snoRNA
RF00047,so-term,precursor_RNA
RF00048,fallbacks,
RF00049,rna-type,snoRNA
RF00050,fallbacks,
RF00051,so-term,precursor_RNA
RF00052,so-term,precursor_RNA
RF00053,so-term,precursor_RNA
RF00054,rna-type,snoRNA
RF00055,rna-type,snoRNA
RF00056,rna-type,snoRNA
RF00057,so-term,antisense_RNA
RF00058,so-term,other
RF00059,fallbacks,
RF00060,so-term,other
RF00061,fallbacks,
RF00062,so-term,other
RF00063,fallbacks,
RF00064,so-term,other
RF00065,rna-type,snoRNA
RF00066,so-term,snRNA
RF00067,rna-type,snoRNA
RF00068,rna-type,snoRNA
RF00069,rna-type,snoRNA
RF00070,rna-type,snoRNA
RF00071,rna-type,snoRNA
RF00072,rna-type,snoRNA
RF00073,so-term,precursor_RNA
RF00074,so-term,precursor_RNA
RF00075,so-term,precursor_RNA
RF00076,so-term,precursor_RNA
RF00077,so-term,other
RF00078,so-term,other
RF00079,so-term,other
RF00080,fallbacks,
RF00081,so-term,other
RF00082,so-term,other
RF00083,so-term,other
RF00084,so-term,other
RF00085,rna-type,snoRNA
RF00086,rna-type,snoRNA
RF00087,rna-type,snoRNA
RF00088,rna-type,snoRNA
RF00089,rna-type,snoRNA
RF00090,rna-type,snoRNA
RF00091,rna-type,snoRNA
RF00092,rna-type,snoRNA
RF00093,rna-type,snoRNA
RF00094,so-term,ribozyme
RF00095,rna-type,snoRNA
RF00096,rna-type,snoRNA
RF00097,rna-type,snoRNA
RF00099,rna-type,snoRNA
RF00100,so-term,snRNA
RF00101,so-term,other
RF00102,fallbacks,
RF00103,so-term,precursor_RNA
RF00104,so-term,precursor_RNA
RF00105,rna-type,snoRNA
RF00106,so-term,antisense_RNA
RF00107,so-term,antisense_RNA
RF00108,rna-type,snoRNA
RF00109,fallbacks,
RF00110,so-term,other
RF00111,so-term,other
RF00112,so-term,other
RF00113,so-term,other
RF00114,fallbacks,
RF00115,rna-type,other
RF00116,so-term,other
RF00117,so-term,other
RF00118,so-term,other
RF00119,rna-type,other
RF00121,so-term,other
RF00122,rna-type,other
RF00124,so-term,other
RF00125,rna-type,other
RF00126,so-term,other
RF00127,so-term,other
RF00128,so-term,other
RF00129,so-term,precursor_RNA
RF00130,so-term,precursor_RNA
RF00131,so-term,precursor_RNA
RF00132,rna-type,snoRNA
RF00133,rna-type,snoRNA
RF00134,rna-type,snoRNA
RF00135,rna-type,snoRNA
RF00136,rna-type,snoRNA
RF00137,rna-type,snoRNA
RF00138,rna-type,snoRNA
RF00139,rna-type,snoRNA
RF00140,fallbacks,
RF00142,rna-type,snoRNA
RF00143,so-term,precursor_RNA
RF00144,so-term,precursor_RNA
RF00145,rna-type,snoRNA
RF00147,rna-type,snoRNA
RF00149,rna-type,snoRNA
RF00150,rna-type,snoRNA
RF00151,rna-type,snoRNA
RF00152,rna-type,snoRNA
RF00153,rna-type,snoRNA
RF00154,rna-type,snoRNA
RF00155,rna-type,snoRNA
RF00156,rna-type,snoRNA
RF00157,rna-type,snoRNA
RF00158,rna-type,snoRNA
RF00159,rna-type,snoRNA
RF00160,rna-type,snoRNA
RF00161,fallbacks,
RF00162,fallbacks,
RF00163,name,hammerhead_ribozyme
RF00164,fallbacks,
RF00165,fallbacks,
RF00166,so-term,other
RF00167,fallbacks,
RF00168,fallbacks,
RF00169,name,SRP_RNA
RF00170,fallbacks,
RF00171,fallbacks,
RF00172,fallbacks,
RF00173,so-term,ribozyme
RF00174,fallbacks,
RF00175,fallbacks,
RF00176,fallbacks,
RF00177,rna-type,rRNA
RF00178,so-term,precursor_RNA
RF00179,fallbacks,
RF00180,fallbacks,
RF00181,rna-type,snoRNA
RF00182,fallbacks,
RF00183,fallbacks,
RF00184,fallbacks,
RF00185,fallbacks,
RF00186,rna-type,snoRNA
RF00187,rna-type,snoRNA
RF00188,rna-type,snoRNA
RF00189,rna-type,snoRNA
RF00190,rna-type,snoRNA
